model_no,batch_size,embed_dim,class_weight,loss,accuracy,best_val_accuracy_in_history,best_val_loss_in_history,epochs_ran,saved_path
2,192,768,True,0.9346104860305786,0.756147563457489,0.756147563457489,0.8249354958534241,36,./models/model_0.756148_model2_bat192_emb768_classW.h5
3,64,512,False,0.816919207572937,0.7581967115402222,0.7581967115402222,0.8169202208518982,20,./models/model_0.758197_model3_bat64_emb512.h5
3,64,512,True,0.9397432804107666,0.7527322173118591,0.7527322173118591,0.8526371121406555,58,./models/model_0.752732_model3_bat64_emb512_classW.h5
3,64,640,False,0.8656877875328064,0.7575136423110962,0.7575136423110962,0.8583251237869263,22,./models/model_0.757514_model3_bat64_emb640.h5
3,64,640,True,0.949971079826355,0.7520492076873779,0.7520492076873779,0.8410659432411194,38,./models/model_0.752049_model3_bat64_emb640_classW.h5
3,64,768,False,0.9560400247573853,0.7520492076873779,0.7520492076873779,0.8498837947845459,33,./models/model_0.752049_model3_bat64_emb768.h5
3,64,768,True,0.9464360475540161,0.7418032884597778,0.7418032884597778,0.8455447554588318,27,./models/model_0.741803_model3_bat64_emb768_classW.h5
3,128,512,False,0.8430328965187073,0.7602459192276001,0.7602459192276001,0.8430303931236267,24,./models/model_0.760246_model3_bat128_emb512.h5
3,128,512,True,0.8710183501243591,0.7479507923126221,0.7479507923126221,0.8710150122642517,24,./models/model_0.747951_model3_bat128_emb512_classW.h5
3,128,640,False,0.9398120045661926,0.748633861541748,0.748633861541748,0.8415477871894836,32,./models/model_0.748634_model3_bat128_emb640.h5
3,128,640,True,0.9096404314041138,0.7534152865409851,0.7534152865409851,0.8770495057106018,28,./models/model_0.753415_model3_bat128_emb640_classW.h5
3,128,768,False,0.9080915451049805,0.7452185750007629,0.7452185750007629,0.8763841986656189,26,./models/model_0.745219_model3_bat128_emb768.h5
3,128,768,True,0.9418447613716125,0.7390710115432739,0.7390710115432739,0.8706765174865723,34,./models/model_0.739071_model3_bat128_emb768_classW.h5
3,192,512,False,0.9205338954925537,0.748633861541748,0.748633861541748,0.8843654990196228,38,./models/model_0.748634_model3_bat192_emb512.h5
3,192,512,True,0.8912976980209351,0.7629781365394592,0.7629781365394592,0.8396725058555603,31,./models/model_0.762978_model3_bat192_emb512_classW.h5
3,192,640,False,0.9964950680732727,0.7356557250022888,0.7356557250022888,0.9629664421081543,36,./models/model_0.735656_model3_bat192_emb640.h5
3,192,640,True,0.9922850728034973,0.7301912307739258,0.7301912307739258,0.9330126047134399,63,./models/model_0.730191_model3_bat192_emb640_classW.h5
3,192,768,False,0.9355690479278564,0.7595628499984741,0.7595628499984741,0.8848172426223755,45,./models/model_0.759563_model3_bat192_emb768.h5
3,192,768,True,0.9443020224571228,0.749316930770874,0.749316930770874,0.8958204984664917,31,./models/model_0.749317_model3_bat192_emb768_classW.h5
